Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
16:07:44,40,87,cc,40,87,d5,40,87,d5,40,87,d5,40,87,df,40
16:07:44,87,df,40,87,df,40,87,ec,40,87,ec,40,87,ec,40,87
16:07:44,f2,40,87,f2,40,87,f2,2,1f,fc,fc,40,88,c7,40,88
16:07:45,c7,40,88,ce,40,88,ce,40,88,ce,40,88,d4,40,88,d4
16:07:45,40,88,d4,40,88,ef,40,88,ef,40,88,ef,40,88,f7,40
16:07:45,88,f7,40,88,f7,40,89,ce,40,89,ce,40,89,ce,40,89
16:07:45,d6,40,89,d6,40,89,d6,40,89,ed,40,89,ed,40,89,ed
16:07:45,40,89,f5,40,89,f5,40,89,f5,40,8a,ce,40,8a,ce,40
16:07:45,8a,ce,40,8a,d7,40,8a,d7,40,8a,d7,40,8a,f1,40,8a
16:07:45,f1,40,8a,f1,40,8a,fa,40,8a,fa,40,8a,fa,40,8b,d3
16:07:45,40,8b,d3,40,8b,d3,40,8b,dd,40,8b,dd,40,8b,dd,40
16:07:45,8b,f7,40,8b,f7,40,8b,f7,40,8c,c0,40,8c,c0,40,8c
16:07:45,c0,40,8c,d9,40,8c,d9,40,8c,d9,40,8c,e2,40,8c,e2
16:07:45,40,8c,e2,40,8c,fd,40,8c,fd,40,8c,fd,40,8d,c6,40
16:07:45,8d,c6,40,8d,c6,40,8d,de,40,8d,de,40,8d,de,40,8d
16:07:45,e7,40,8d,e7,40,8d,e7,40,8d,ff,40,8d,ff,40,8d,ff
16:07:45,40,8e,c8,40,8e,c8,40,8e,c8,40,8e,e1,40,8e,e1,40
16:07:45,8e,e1,40,8e,e9,40,8e,e9,40,8e,e9,40,8e,ff,40,8e
16:07:46,ff,40,8e,ff,40,8f,c7,40,8f,c7,40,8f,c7,40,8f,de
16:07:46,40,8f,de,40,8f,de,40,8f,e7,40,8f,e7,40,8f,e7,40
16:07:46,90,c9,40,90,c9,40,90,c9,40,90,d1,40,90,d1,40,90
16:07:46,d1,40,90,e7,40,90,e7,40,90,e7,40,90,ef,40,90,ef
16:07:46,40,90,ef,40,90,f5,40,90,f5,40,90,f5,40,91,ce,40
16:07:46,91,ce,40,91,ce,40,91,d4,40,91,d4,40,91,d4,40,91
16:07:46,da,40,91,da,40,91,da,40,91,f5,40,91,f5,40,91,f5
16:07:46,40,92,c9,40,92,c9,40,92,c9,40,92,cf,40,92,cf,40
16:07:46,92,cf,40,92,d5,40,92,d5,40,92,d5,40,92,eb,40,92
16:07:46,eb,40,92,eb,40,92,f1,40,92,f1,40,92,f1,40,92,f6
16:07:46,40,92,f6,40,92,f6,40,93,cc,40,93,cc,40,93,cc,40
16:07:46,93,d1,40,93,d1,40,93,d1,40,93,d5,40,93,d5,40,93
16:07:46,d5,40,93,d9,40,93,d9,40,93,d9,40,93,ee,40,93,ee
16:07:46,40,93,ee,40,93,f6,40,93,f6,40,93,f6,40,93,fe,40
16:07:46,93,fe,40,93,fe,40,94,c7,40,94,c7,40,94,c7,40,94
16:07:47,d0,40,94,d0,40,94,d0,40,94,d9,40,94,d9,40,94,d9
16:07:47,40,94,e1,40,94,e1,40,94,e1,40,94,ea,40,94,ea,40
16:07:47,94,ea,40,94,f3,40,94,f3,40,94,f3,40,94,fa,40,94
16:07:47,fa,40,94,fa,40,95,c1,40,95,c1,40,95,c1,40,95,c8
16:07:47,40,95,c8,40,95,c8,40,95,cf,40,95,cf,40,95,cf,40
16:07:47,95,d6,40,95,d6,40,95,d6,40,95,dd,40,95,dd,40,95
16:07:47,dd,40,95,e4,40,95,e4,40,95,e4,40,95,eb,40,95,eb
16:07:47,40,95,eb,40,95,f1,40,95,f1,40,95,f1,40,95,f8,40
16:07:47,95,f8,40,95,f8,40,95,fd,40,95,fd,40,95,fd,40,96
16:07:47,c2,40,96,c2,40,96,c2,40,96,c7,40,96,c7,40,96,c7
16:07:47,40,96,cb,40,96,cb,40,96,cb,40,96,cf,40,96,cf,40
16:07:47,96,cf,40,96,d3,40,96,d3,40,96,d3,40,96,cf,40,96
16:07:47,cf,40,96,cf,40,96,d3,40,96,d3,40,96,d3,40,96,d7
16:07:47,40,96,d7,40,96,d7,40,96,da,40,96,da,40,96,da,40
16:07:47,96,de,40,96,de,40,96,de,40,96,e1,40,96,e1,40,96
16:07:47,e1,40,96,e4,40,96,e4,40,96,e4,40,96,e8,40,96,e8
16:07:48,40,96,e8,40,96,eb,40,96,eb,40,96,eb,40,96,ee,40
16:07:48,96,ee,40,96,ee,40,96,f0,40,96,f0,40,96,f0,40,96
16:07:48,f2,40,96,f2,40,96,f2,40,96,f5,40,96,f5,40,96,f5
16:07:48,40,96,f7,40,96,f7,40,96,f7,40,96,f9,40,96,f9,40
16:07:48,96,f9,40,96,fb,40,96,fb,40,96,fb,40,96,fd,40,96
16:07:48,fd,40,96,fd,40,96,ff,40,96,ff,40,96,ff,40,97,c0
16:07:48,40,97,c0,40,97,c0,40,97,c1,40,97,c1,40,97,c1,40
16:07:48,97,c3,40,97,c3,40,97,c3,40,97,c4,40,97,c4,40,97
16:07:48,c4,40,97,c5,40,97,c5,40,97,c5,40,97,c6,40,97,c6
16:07:48,40,97,c6,40,97,c6,40,97,c6,40,97,c6,40,97,c7,40
16:07:48,97,c7,40,97,c7,40,97,c8,40,97,c8,40,97,c8,40,97
16:07:48,c9,40,97,c9,40,97,c9,40,97,c9,40,97,c9,40,97,c9
16:07:48,40,97,c9,40,97,c9,40,97,c9,40,97,ca,40,97,ca,40
16:07:48,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97
16:07:48,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca
16:07:49,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40
16:07:49,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97
16:07:49,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca
16:07:49,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40
16:07:49,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97
16:07:49,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca
16:07:49,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40
16:07:49,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97
16:07:49,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca
16:07:49,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40
16:07:49,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97
16:07:49,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca
16:07:49,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40
16:07:49,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97
16:07:49,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca
16:07:50,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40
16:07:50,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97
16:07:50,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca
16:07:50,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40,97,ca,40
